Day,Month,Poop collected y/n,AM/PM,Weather,Loc Desc,Scan time,Age,Sex,Strata,Behavior,Descriptor,Location
11,June,,AM,SC LW,CP Ln,9:50,J,M,MC,R,0,CP
11,June,,AM,SC LW,CP Ln,9:50,A,F,MC,R,0,CP
11,June,,AM,SC LW,CP Ln,9:50,I,U,MC,R,0,CP
11,June,,AM,SC LW,CP Ln,9:50,J,M,MC,R,0,CP
11,June,,AM,SC LW,CP Ln,9:50,J,U,MC,L,0,Ln
11,June,,AM,SC LW,CP Ln,9:50,I,U,MC,L,0,CP
11,June,,AM,SC LW,CP Ln,9:50,I,U,MC,L,0,CP
11,June,,AM,SC LW,CP Ln,9:50,I,U,MC,R,0,CP
11,June,,AM,SC LW,Ln RS PW,9:55,J,F,G,R,0,Ln
11,June,,AM,SC LW,Ln RS PW,9:55,I,U,G,L,0,Ln
11,June,,AM,SC LW,Ln RS PW,9:55,J,U,HS,L,0,Ln
11,June,,AM,SC LW,Ln RS PW,9:55,J,U,G,L,0,Ln
11,June,,AM,SC LW,Ln RS PW,9:55,A,F,G,R,0,PW
11,June,,AM,SC LW,Ln RS PW,9:55,A,M,G,L,0,PW
11,June,,AM,SC LW,Ln RS PW,9:55,J,F,HS,PL,0,PW
11,June,,AM,SC LW,Ln RS PW,9:55,J,M,HS,PL,0,PW
11,June,,AM,SC LW,Ln RS PW,9:55,J,U,HS,PL,0,PW
11,June,,AM,SC LW,Ln RV PL,10:00,I,U,G,Fo,HFg,RV
11,June,,AM,SC LW,Ln RV PL,10:00,I,U,G,Fo,HFg,RV
11,June,,AM,SC LW,Ln RV PL,10:00,A,F,G,Fo,HFg,RV
11,June,,AM,SC LW,Ln RV PL,10:00,J,F,MC,Fe,HFg,RV
11,June,,AM,SC LW,Ln RV PL,10:00,J,M,MC,L,0,RV
11,June,,AM,SC LW,Ln RV PL,10:00,J,U,G,R,0,RV
11,June,,AM,SC LW,Ln RV PL,10:00,J,U,G,Fo,0,PW
11,June,,AM,SC LW,Ln RV PL,10:00,J,U,G,Fo,0,PW
11,June,,AM,SC LW,Ln RV PL,10:00,J,U,G,Fo,0,PW
11,June,,AM,SC LW,Ln RV PL,10:00,J,U,G,Fo,0,PW
11,June,,AM,SC LW,Ln RV PL,10:00,J,U,G,Fo,0,PW
11,June,,AM,SC LW,Ln RV PL,10:00,A,F,G,Fo,0,PW
11,June,,AM,SC LW,Ln RV PL,10:00,A,F,G,Fo,0,PW
11,June,,AM,SC LW,Ln RV PL,10:00,A,M,G,R,0,PW
11,June,,AM,SC LW,Ln RV PL,10:00,J,U,G,Fe,HFc,PW
11,June,,AM,SC LW,Ln RV PL,10:00,A,F,HS,R,0,PW
11,June,,AM,SC LW,Ln RV,10:05,J,M,G,Fe,0,RV
11,June,,AM,SC LW,Ln RV,10:05,J,M,G,Fo,0,RV
11,June,,AM,SC LW,Ln RV,10:05,I,U,G,Fe,0,RV
11,June,,AM,SC LW,Ln RV,10:05,J,U,G,Fe,0,RV
11,June,,AM,SC LW,Ln RV,10:05,J,U,G,Fe,0,RV
11,June,,AM,SC LW,Ln RV,10:05,A,F,G,R,0,RV
11,June,,AM,SC LW,Ln RV,10:05,A,F,G,L,0,RV
11,June,,AM,SC LW,Ln RV,10:05,A,F,G,R,0,RV
11,June,,AM,SC LW,Ln RV,10:05,I,U,HCS,Fe,0,RV
11,June,,AM,SC LW,Ln RV,10:05,A,M,HCS,R,0,RV
11,June,,AM,SC LW,Ln RV,10:05,J,M,HCS,R,0,RV
11,June,,AM,SC LW,Ln RV,10:05,A,M,G,R,0,RV
11,June,,AM,SC LW,Ln RV,10:05,A,F,G,L,0,RV
11,June,,AM,SC LW,Ln RV,10:05,A,F,G,L,0,RV
11,June,,AM,SC LW,Ln RV,10:05,A,M,G,Ag+,0,RV
11,June,,AM,SC LW,F RV CP,10:10,J,U,G,Fo,HFg,CP
11,June,,AM,SC LW,F RV CP,10:10,I,U,G,Fo,HFg,F
11,June,,AM,SC LW,F RV CP,10:10,A,M,HS,Fe,HFg,F
11,June,,AM,SC LW,F RV CP,10:10,A,F,MC,L,0,F
11,June,,AM,SC LW,F RV CP,10:10,A,F,MC,L,0,F
11,June,,AM,SC LW,F RV CP,10:10,J,U,HS,R,0,F
11,June,,AM,SC LW,F RV CP,10:10,J,U,HS,R,0,F
11,June,,AM,SC LW,F RV CP,10:10,A,M,G,Fo,HFg,F
11,June,,AM,SC LW,F RV CP,10:10,A,F,G,Fo,HFg,F
11,June,,AM,SC LW,F RV CP,10:10,J,U,G,Fo,HFg,F
